"audit_sha","path","source_set","language","bytes","wc_line_equivalent","sha256","declaration_count"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/chat/src/main/kotlin/fr/mina/gateway/chat/ChatKeyVault.kt","main","kotlin","4745","109","bd3c1b4b97a9e9ae5ccc02ba3baa1666e488227b7e1088c9c86febaaec00e7be","9"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/chat/src/main/kotlin/fr/mina/gateway/chat/ChatRepository.kt","main","kotlin","14461","297","b32f60f5a8ee4060d9fbdf004ac3630f4a3b3353e8fcde67319ffbab799cbb85","14"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/chat/src/main/kotlin/fr/mina/gateway/chat/ChatSettings.kt","main","kotlin","2746","66","25699d9e12588cbd44048f97a55df93c992709c3c8c9eb56abe49ebdfd73e814","12"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/chat/src/main/kotlin/fr/mina/gateway/chat/ChatSigner.kt","main","kotlin","1827","43","42226138344aad09b74c69083abae62fc0f1b3c6816a2e3199bd999e063d819f","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/chat/src/main/kotlin/fr/mina/gateway/chat/ChatSyncLoop.kt","main","kotlin","4669","123","d639aba402adc03c63925e6f5886f4ffa337d704e2fda67cff181ed259b4e5a0","6"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/chat/src/main/kotlin/fr/mina/gateway/chat/DirectChatLink.kt","main","kotlin","6555","144","01b414f8eeda8d602818312650a0cc237453aff455777f94790a6f5f3e85b56b","9"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/chat/src/main/kotlin/fr/mina/gateway/chat/FirebaseChatRelay.kt","main","kotlin","5462","133","3940cd7739e66b5ee487ef554ce75605065630776eddee165dca2ca8d5dde1cd","7"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/chat/src/test/kotlin/fr/mina/gateway/chat/ChatRepositoryTest.kt","test","kotlin","9650","209","6d47047c96ca93365d0a3b70fabafb41363e42cdf2e5a918c7c576bc4dc7367d","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/main/kotlin/fr/mina/gateway/protocol/ChatBinaryCodec.kt","main","kotlin","3430","78","e3fa544280270b0a3613fb816d002517bd971af2da68627745229ab2912f4015","8"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/main/kotlin/fr/mina/gateway/protocol/ChatCrypto.kt","main","kotlin","7527","169","fb4d0839b33031e9982887dda2aaf454cdc8b4b8c0168a34c68bfaf7d2bb8c5d","9"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/main/kotlin/fr/mina/gateway/protocol/ChatEvent.kt","main","kotlin","7379","165","673209affe89fe8f26c555a1c54018d120716ec2ead8d23d40b26f20e7f98f58","4"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/main/kotlin/fr/mina/gateway/protocol/ChatPayloadCodec.kt","main","kotlin","4033","79","7fc999da2cfe830419c7d959a5f2cba16d71ae1fb5b95a44f5ad881ff4225be2","6"
