"audit_sha","path","domain","extension","bytes","wc_line_equivalent","sha256","ast_function_nodes","static_relative_imports","missing_relative_imports","missing_specifiers","coverage_instrumented","statement_pct","branch_pct","function_pct","line_pct","direct_test_importer_count","direct_test_importers"
"fd5866d2580127142e46b58848da2471488f70c0","src/research/url-policy.mjs","research",".mjs","5135","121","bd293408d306e9f304ff71ad8259b80746fc507e3e119c40b9b3d3c9c4d84b92","15","0","0","","true","95.95","91.18","100.00","96.15","2","tests/research-url-policy.test.mjs;tests/security-invariants.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/research/web-answer.mjs","research",".mjs","6613","167","b5a35a7d4c2f239f1b9aa44d229be9ad4291fb20db8a914ae3de934e3735ea91","14","0","0","","true","96.20","78.57","85.71","98.48","1","tests/web-answer.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/research/web-reader.mjs","research",".mjs","7616","178","84f4c760257cc508514fb084ba83e62894292e7c1462db4eb0a089d7215e5b2f","30","1","0","","true","23.53","29.03","10.00","25.76","2","tests/integration/web-research.test.mjs;tests/web-reader.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/routines/routine-contracts.mjs","routines",".mjs","1650","54","7d6911a3e6ee768052ad6148dd9bf8fbbd114f3b106b47831962413bcedea96c","3","0","0","","true","93.75","100.00","66.67","93.33","1","tests/routine-contracts.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/routines/routine-registry.mjs","routines",".mjs","1393","39","d5139faea0940bfdd8a378fb0df617a570c47f2cdbbf8568095113086a9340e7","6","1","0","","true","100.00","88.24","100.00","100.00","1","tests/routine-contracts.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/routines/routine-scheduler.mjs","routines",".mjs","3409","84","de35f1992d4717a9280e1505b19b4aea6172ba9e3f10e363be460a5ad2b2c65e","11","0","0","","true","93.22","81.58","90.91","97.78","1","tests/routine-scheduler.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/routing/capability-router.mjs","routing",".mjs","1145","23","610dce76b9e980e27c2599d3493f286f00f15f1628323ad931b5fc81a1602d78","6","0","0","","true","87.50","87.50","100.00","100.00","2","tests/capability-router.test.mjs;tests/integration/local-computer-use.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/routing/inference-mode-policy.mjs","routing",".mjs","949","23","74359aae345ead12c7c085f37c5396de268cc528e88208e98b6fa6b279917d8a","7","0","0","","true","100.00","100.00","100.00","100.00","4","tests/capability-router.test.mjs;tests/gemini-live-contract.test.mjs;tests/inference-mode-policy.test.mjs;tests/integration/local-computer-use.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/runtime/capability-catalog.mjs","runtime",".mjs","1901","47","98e2a81ca087617331fee432996495aa1d17e07e683868ca74836b0cc12f271d","7","0","0","","true","91.30","84.62","100.00","100.00","1","tests/runtime-capability-catalog.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/runtime/local-runtime-supervisor.mjs","runtime",".mjs","3623","98","cbdcd6c4c6c19a5212f26654a582570cbfb6e7a7a6b21231dbd731a905e56f95","17","0","0","","true","82.35","70.27","76.47","88.68","1","tests/local-runtime-supervisor.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/safety/capability-broker.mjs","safety",".mjs","3290","87","42e6c4bd2779e54d22deae7800429b67a41575685bc667373bc29bd17240b486","14","2","0","","true","93.62","80.00","92.86","92.50","5","tests/capability-broker.test.mjs;tests/computer-action-authorizer.test.mjs;tests/file-read-policy.test.mjs;tests/integration/android-channel-policy.test.mjs;tests/security-invariants.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/safety/channel-policy.mjs","safety",".mjs","1056","26","3333e833c5d3ccd43d4f2090c796f0d66aaae39c3c70a7adf5fdee67ea253625","3","0","0","","true","100.00","100.00","100.00","100.00","1","tests/architecture/channel-capabilities.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/safety/computer-action-authorizer.mjs","safety",".mjs","4238","92","8c6108f2485f8ea04c040b4ad84fa65457852de088512088feb4c786f9c6fded","6","1","0","","true","85.71","83.33","100.00","93.33","1","tests/computer-action-authorizer.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/safety/policy.mjs","safety",".mjs","2961","71","5ea3ee49dd9d285c263c2d2ef27693612643b3d006c193c56ab2f59852651e2b","4","0","0","","true","96.67","88.89","100.00","96.30","3","tests/desktop-app-launch.test.mjs;tests/safety-policy.test.mjs;tests/security-invariants.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/guest-runner.mjs","sandbox",".mjs","8449","184","689eba5d31b905bc28cbdfca791466d1f133fb9ee92ce80c34a9ce762417a62a","26","0","0","","true","70.00","60.82","57.69","76.58","1","tests/guest-runner.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/job-history.mjs","sandbox",".mjs","6538","125","16083000afdf18c3c95d1c41442cf6522b6538f7212746ac5e8bc105cd11f2cb","9","1","0","","true","80.82","75.38","100.00","90.00","1","tests/job-history.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/job-schema.mjs","sandbox",".mjs","5252","98","7b4670cdda4ecd040082d0406189226d965f683da3ff30dd6d6381562e2e8c29","11","0","0","","true","86.67","87.34","90.91","98.28","2","tests/integration/skill-sandbox-boundary.test.mjs;tests/sandbox-job.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/job-workspace.mjs","sandbox",".mjs","4800","95","d7095b3fe7f1d0467323de7ccda31e897c0707b7964635749e7849e733ced907","9","0","0","","true","83.95","77.61","88.89","96.97","1","tests/job-workspace.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/runtime-manifest.mjs","sandbox",".mjs","3762","71","0a81d9295ad893073c8607a6b4e9bb581f213d4f51b97b9822ce841c0a8e98d8","9","0","0","","true","84.31","84.44","100.00","90.48","2","tests/runtime-manifest.test.mjs;tests/runtime-provisioning.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/runtime-provisioning.mjs","sandbox",".mjs","5503","107","e3350ff680465dc95ad5175cb6eecdee910b2453f09c6bb6188e0cb5d3a088b1","10","0","0","","true","89.71","83.33","100.00","98.00","1","tests/runtime-provisioning.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/sandbox-runner.mjs","sandbox",".mjs","3756","77","8d968882602e631cafebe349f0be6c1417d6b7666881725c6b578bf53ec933f7","6","0","0","","true","29.55","38.46","33.33","32.50","1","tests/sandbox-runner.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/sandbox-ui-manager.mjs","sandbox",".mjs","5355","106","cc7c23eb2e30da43bab65d98f56d15a5423aa0945c4f7f3d255822c3890fb356","13","0","0","","true","57.41","63.08","46.15","66.67","1","tests/skills-sandbox-ui.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/stream-parser.mjs","sandbox",".mjs","3499","74","b914dc4d72e9f65c2721b89925a361ea82122934bcee2b587e3fd6dc442d9f01","7","0","0","","true","81.54","76.19","85.71","97.83","1","tests/sandbox-stream.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/windows-sandbox-launcher.mjs","sandbox",".mjs","4052","107","b9dffab2531d5f03b867bd47cd4beb7da322ab758b9818a166f2a7b052811cbd","9","0","0","","true","69.49","76.92","33.33","76.92","1","tests/windows-sandbox-launcher.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/windows-sandbox.mjs","sandbox",".mjs","5342","113","79eb65d21acc4bb1b091b5e8a6bc84d6614019458ffa8e25cba818e5deaa895e","19","1","0","","true","49.06","79.55","36.84","51.16","2","tests/integration/skill-sandbox-boundary.test.mjs;tests/windows-sandbox.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/sandbox/wsb-builder.mjs","sandbox",".mjs","2381","59","3e56d22df833e67e2f95f8532a7e3ec09d69d661d13074df48338d9dd1a6d014","8","0","0","","true","95.24","94.44","100.00","100.00","1","tests/wsb-builder.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/security/credential-document.mjs","security",".mjs","2294","51","ad94c28a73da369c634fe4bd3db1020b98276f5a1ea48d7ba6a6505f07325cdf","4","0","0","","true","91.43","83.87","100.00","100.00","1","tests/credential-document.test.mjs"
